Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors
552000,73,Splitsko-dalmatinska,Split,Grad,2-sobni,U stambenoj zgradi,Jednoetažni
685000,243,Splitsko-dalmatinska,Marina,Marina,3-sobni,U stambenoj zgradi,Dvoetažni
685000,243,Splitsko-dalmatinska,Marina,Marina,3-sobni,U stambenoj zgradi,Dvoetažni
284000,79,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
253945,87,Splitsko-dalmatinska,Podstrana,Podstrana,1-sobni,U stambenoj zgradi,Jednoetažni
235585,76,Splitsko-dalmatinska,Podstrana,Podstrana,2-sobni,U stambenoj zgradi,Jednoetažni
231000,71,Splitsko-dalmatinska,Podstrana,Podstrana,3-sobni,U stambenoj zgradi,Višeetažni
155000,42,Splitsko-dalmatinska,Split,Dragovode,1-sobni,U stambenoj zgradi,Jednoetažni
208785,67,Splitsko-dalmatinska,Podstrana,Podstrana,2-sobni,U stambenoj zgradi,Jednoetažni
177232,55,Splitsko-dalmatinska,Podstrana,Podstrana,2-sobni,U stambenoj zgradi,Jednoetažni
437925,146,Splitsko-dalmatinska,Podstrana,Podstrana,3-sobni,U stambenoj zgradi,Jednoetažni
245000,66,Splitsko-dalmatinska,Split,Dragovode,3-sobni,U stambenoj zgradi,Jednoetažni
299000,126,Splitsko-dalmatinska,Kaštela,Kaštel Novi,2-sobni,U stambenoj zgradi,Jednoetažni
179000,51,Splitsko-dalmatinska,Baška Voda,Krvavica,1-sobni,U stambenoj zgradi,Jednoetažni
366135,104,Splitsko-dalmatinska,Marina,Marina,4-sobni,U stambenoj zgradi,Jednoetažni
285000,64,Splitsko-dalmatinska,Marina,Marina,2-sobni,U stambenoj zgradi,Višeetažni
264000,75,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
420000,80,Splitsko-dalmatinska,Split,Grad,4-sobni,U stambenoj zgradi,Jednoetažni
200000,65,Splitsko-dalmatinska,Okrug,Okrug Gornji,2-sobni,U stambenoj zgradi,Jednoetažni
500000,83,Splitsko-dalmatinska,Split,Lovret,2-sobni,U stambenoj zgradi,Jednoetažni
175000,43,Splitsko-dalmatinska,Trogir,Miševac,1-sobni,U stambenoj zgradi,Jednoetažni
171900,62,Splitsko-dalmatinska,Okrug,Okrug Gornji,1-sobni,U stambenoj zgradi,Jednoetažni
210000,85,Splitsko-dalmatinska,Kaštela,Kaštel Stari,3-sobni,U stambenoj zgradi,Jednoetažni
181000,64,Splitsko-dalmatinska,Okrug,Okrug Gornji,1-sobni,U stambenoj zgradi,Jednoetažni
650000,140,Splitsko-dalmatinska,Trogir,Trogir,2-sobni,U kući,Jednoetažni
249000,52,Splitsko-dalmatinska,Split,Spinut,1-sobni,U stambenoj zgradi,Jednoetažni
205000,73,Splitsko-dalmatinska,Okrug,Okrug Gornji,2-sobni,U stambenoj zgradi,Jednoetažni
400000,81,Splitsko-dalmatinska,Split,Trstenik,2-sobni,U stambenoj zgradi,Jednoetažni
267000,75,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
206500,57,Splitsko-dalmatinska,Seget,Seget Donji,1-sobni,U stambenoj zgradi,Jednoetažni
315000,88,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
225000,60,Splitsko-dalmatinska,Split,Bol,2-sobni,U stambenoj zgradi,Jednoetažni
196000,72,Splitsko-dalmatinska,Seget,Seget Donji,3-sobni,U stambenoj zgradi,Jednoetažni
360000,70,Splitsko-dalmatinska,Okrug,Okrug Gornji,3-sobni,U stambenoj zgradi,Jednoetažni
360000,139,Splitsko-dalmatinska,Omiš,Marušići,4-sobni,U stambenoj zgradi,Jednoetažni
210000,77,Splitsko-dalmatinska,Seget,Seget Vranjica,3-sobni,U stambenoj zgradi,Jednoetažni
205000,77,Splitsko-dalmatinska,Seget,Seget Vranjica,3-sobni,U stambenoj zgradi,Jednoetažni
256977,79,Splitsko-dalmatinska,Seget,Seget Donji,3-sobni,U stambenoj zgradi,Jednoetažni
229390,75,Splitsko-dalmatinska,Seget,Seget Donji,3-sobni,U stambenoj zgradi,Jednoetažni
178336,55,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
181912,57,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
273265,88,Splitsko-dalmatinska,Seget,Seget Donji,3-sobni,U stambenoj zgradi,Jednoetažni
280000,87,Splitsko-dalmatinska,Kaštela,Kaštel Stari,4-sobni,U stambenoj zgradi,Jednoetažni
229000,62,Splitsko-dalmatinska,Kaštela,Kaštel Gomilica,3-sobni,U stambenoj zgradi,Jednoetažni
226000,64,Splitsko-dalmatinska,Kaštela,Kaštel Gomilica,3-sobni,U stambenoj zgradi,Jednoetažni
220000,54,Splitsko-dalmatinska,Okrug,Okrug Gornji,3-sobni,U stambenoj zgradi,Jednoetažni
182000,44,Splitsko-dalmatinska,Okrug,Okrug Gornji,2-sobni,U stambenoj zgradi,Jednoetažni
182000,54,Splitsko-dalmatinska,Okrug,Okrug Gornji,3-sobni,U stambenoj zgradi,Jednoetažni
305000,75,Splitsko-dalmatinska,Marina,Marina,2-sobni,U stambenoj zgradi,Višeetažni
176600,46,Splitsko-dalmatinska,Seget,Seget Donji,1-sobni,U stambenoj zgradi,Jednoetažni
202300,55,Splitsko-dalmatinska,Seget,Seget Donji,1-sobni,U stambenoj zgradi,Jednoetažni
293000,81,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
199500,55,Splitsko-dalmatinska,Seget,Seget Donji,1-sobni,U stambenoj zgradi,Jednoetažni
190500,53,Splitsko-dalmatinska,Seget,Seget Donji,1-sobni,U stambenoj zgradi,Jednoetažni
218900,61,Splitsko-dalmatinska,Split,Kocunar,2-sobni,U stambenoj zgradi,Jednoetažni
180000,72,Splitsko-dalmatinska,Stari Grad,Stari Grad,2-sobni,U stambenoj zgradi,Jednoetažni
